IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
8.219.117.198,2087,true,SIN,亚太,新加坡,4 ms,40.28
47.245.118.70,2087,true,SIN,亚太,新加坡,5 ms,40.28
8.219.222.98,8443,true,SIN,亚太,新加坡,3 ms,40.19
47.236.172.71,2053,true,SIN,亚太,新加坡,5 ms,39.91
47.236.254.120,2083,true,SIN,亚太,新加坡,3 ms,39.80
8.219.132.64,2096,true,SIN,亚太,新加坡,4 ms,39.61
47.236.75.113,2087,true,SIN,亚太,新加坡,3 ms,39.55
47.236.144.208,2096,true,SIN,亚太,新加坡,4 ms,39.55
8.219.210.64,2087,true,SIN,亚太,新加坡,2 ms,39.52
8.222.156.242,2053,true,SIN,亚太,新加坡,2 ms,39.47
8.222.136.247,8443,true,SIN,亚太,新加坡,3 ms,39.46
8.219.174.142,2087,true,SIN,亚太,新加坡,2 ms,39.31
8.222.208.38,2083,true,SIN,亚太,新加坡,4 ms,38.99
47.237.95.146,8443,true,SIN,亚太,新加坡,4 ms,38.75
47.236.97.90,2083,true,SIN,亚太,新加坡,4 ms,38.68
8.218.136.25,8443,true,HKG,亚太,香港,41 ms,38.48
47.236.189.92,8443,true,SIN,亚太,新加坡,5 ms,38.46
47.243.183.127,2096,true,HKG,亚太,香港,34 ms,38.40
8.218.8.142,8443,true,HKG,亚太,香港,40 ms,38.29
8.218.122.55,2053,true,HKG,亚太,香港,43 ms,38.26
8.217.66.3,8443,true,HKG,亚太,香港,38 ms,38.21
8.210.65.1,2053,true,HKG,亚太,香港,39 ms,38.17
8.210.207.214,2053,true,HKG,亚太,香港,42 ms,38.11
8.218.98.75,2083,true,HKG,亚太,香港,37 ms,38.10
8.210.107.246,2096,true,HKG,亚太,香港,38 ms,38.03
8.218.181.189,8443,true,HKG,亚太,香港,41 ms,37.90
8.219.237.250,2096,true,SIN,亚太,新加坡,3 ms,37.90
47.238.131.39,2083,true,HKG,亚太,香港,32 ms,37.87
47.238.5.0,2096,true,HKG,亚太,香港,46 ms,37.78
8.210.207.214,2083,true,HKG,亚太,香港,37 ms,37.74
8.218.207.169,2096,true,HKG,亚太,香港,37 ms,37.72
